"File Path: C:\Users\Administrator\Desktop\User Data Files\Colgate Group\Paul\7_29 Testing\Test Run 72 07-29-25 12 29 42 PM\DAQ- Crosshead, … - (Timed).csv   "
"Test: Hysteresis"
"Test Run: Test Run 72"
"Date: 7/29/2025 12:27:14 PM"
""
""
"_Cycle","Crosshead ","Load ","Time ","Cycle Channel "
"_Cycle","mm","kN","sec","count"
"1","0.0900750455912203","0.00687114191055298","0.112000003457069","1"
"1","0.140142612508498","0.00965288257598877","0.211999997496605","1"
"1","0.190070451935753","0.0121014986038208","0.312000006437302","1"
"1","0.240091438172385","0.0150953693389893","0.412000000476837","1"
"1","0.290112424409017","0.0181224803924561","0.512000024318695","1"
"1","0.340040278388187","0.021047046661377","0.611999988555908","1"
"1","0.390154425986111","0.0242236442565918","0.712000012397766","1"
"1","0.44003568473272","0.027237735748291","0.811999976634979","1"
"1","0.490056700073183","0.0304308891296387","0.912000000476837","1"
"1","0.540124252438545","0.0339179039001465","1.01199996471405","1"
"1","0.590098672546446","0.0368971328735352","1.11199998855591","1"
"1","0.640119658783078","0.0404159049987793","1.21200001239777","1"
"1","0.690047512762249","0.0436898536682129","1.31200003623962","1"
"1","0.740161631256342","0.047663459777832","1.41199994087219","1"
"1","0.790042919106781","0.0506518325805664","1.51199996471405","1"
"1","0.840157037600875","0.0543410453796387","1.61199998855591","1"
"1","0.890084891580045","0.0575483360290527","1.71200001239777","1"
"1","0.940012745559216","0.0616925086975098","1.81200003623962","1"
"1","0.990126864053309","0.0652670745849609","1.91199994087219","1"
"1","1.04005471803248","0.0688115234375","2.01200008392334","1"
"1","1.09012227039784","0.0721719436645508","2.11199998855591","1"
"1","1.14005012437701","0.0757274017333984","2.21199989318848","1"
"1","1.19011767674237","0.0793009490966797","2.31200003623962","1"
"1","1.24004553072155","0.083197998046875","2.41199994087219","1"
"1","1.29006651695818","0.0866075210571289","2.51200008392334","1"
"1","1.34008750319481","0.0895239181518555","2.61199998855591","1"
"1","1.39001535717398","0.0935842895507813","2.71199989318848","1"
"1","1.44008290953934","0.0969177322387695","2.81200003623962","1"
"1","1.49005732964724","0.100444343566895","2.91199994087219","1"
"1","1.54012488201261","0.10398486328125","3.01200008392334","1"
"1","1.53299898374826","0.103424133300781","3.11199998855591","1"
"1","1.48293143138289","0.0985963363647461","3.21199989318848","1"
"1","1.43286387901753","0.0934548416137695","3.31200003623962","1"
"1","1.38274976052344","0.0895458145141602","3.41199994087219","1"
"1","1.33282190654427","0.0855028305053711","3.51200008392334","1"
"1","1.28275435417891","0.0812099456787109","3.61199998855591","1"
"1","1.232779934071","0.0767975234985352","3.71199989318848","1"
"1","1.1828055139631","0.0723331756591797","3.81200003623962","1"
"1","1.13278452772647","0.0683825149536133","3.91199994087219","1"
"1","1.08276354148984","0.0647250518798828","4.01200008392334","1"
"1","1.03274255525321","0.0609765319824219","4.11199998855591","1"
"1","0.982814701274037","0.0563904685974121","4.21199989318848","1"
"1","0.932747090701014","0.0525940589904785","4.31199979782104","1"
"1","0.882772670593113","0.0485679702758789","4.41200017929077","1"
"1","0.832798250485212","0.0446848106384277","4.51200008392334","1"
"1","0.78277726424858","0.0408057098388672","4.61199998855591","1"
"1","0.732802844140679","0.0368865814208984","4.71199989318848","1"
"1","0.682781857904047","0.0338567581176758","4.81199979782104","1"
"1","0.632807437796146","0.0297565021514893","4.91200017929077","1"
"1","0.582739885430783","0.0266510314941406","5.01200008392334","1"
"1","0.532812031451613","0.0231300678253174","5.11199998855591","1"
"1","0.482791045214981","0.0201186790466309","5.21199989318848","1"
"1","0.432770058978349","0.0167667694091797","5.31199979782104","1"
"1","0.382842234103009","0.0137943315505981","5.41200017929077","1"
"1","0.332774652633816","0.0108229866027832","5.51200008392334","1"
"1","0.282800232525915","0.00854007530212402","5.61199998855591","1"
"1","0.232732680160552","0.00602296257019043","5.71199989318848","1"
"2","0.222206843318418","0.00548937606811523","5.81199979782104","2"
"2","0.273438781732693","0.00885514545440674","5.91200017929077","2"
"2","0.323506334098056","0.0116873388290405","6.01200008392334","2"
"2","0.373527320334688","0.014916431427002","6.11199998855591","2"
"2","0.423594901803881","0.0181235618591309","6.21199989318848","2"
"2","0.473522726679221","0.0212076244354248","6.31199979782104","2"
"2","0.523590308148414","0.0249196720123291","6.41200017929077","2"
"2","0.573564728256315","0.0286552486419678","6.51200008392334","2"
"2","0.623585714492947","0.0321212921142578","6.61199998855591","2"
"2","0.673560134600848","0.0358292274475098","6.71199989318848","2"
"2","0.723534554708749","0.0395609397888184","6.81199979782104","2"
"2","0.773602107074112","0.0431189613342285","6.91200017929077","2"
"2","0.823529961053282","0.0464422836303711","7.01200008392334","2"
"2","0.873597513418645","0.0507885704040527","7.11199998855591","2"
"2","0.923571933526546","0.0543014945983887","7.21199989318848","2"
"2","0.973546353634447","0.0581801872253418","7.31199979782104","2"
"2","1.02356739807874","0.0619370536804199","7.41200017929077","2"
"2","1.07354170177132","0.0656931533813477","7.51200008392334","2"
"2","1.123609370552","0.0697429656982422","7.61199998855591","2"
"2","1.17353722453117","0.0737957763671875","7.71199989318848","2"
"2","1.22360477689654","0.0770735702514648","7.81199979782104","2"
"2","1.27357919700444","0.0812985305786133","7.91200017929077","2"
"2","1.32350693456829","0.0852984313964844","8.01200008392334","2"
"2","1.37357460334897","0.0891066436767578","8.11200046539307","2"
"2","1.42354902345687","0.0923208084106445","8.21199989318848","2"
"2","1.4735700096935","0.0968771591186523","8.3120002746582","2"
"2","1.52359099593014","0.100380592346191","8.41199970245361","2"
"2","1.57361198216677","0.104191329956055","8.51200008392334","2"
"2","1.56737095676363","0.103735443115234","8.61200046539307","2"
"2","1.51744310278445","0.0989188766479492","8.71199989318848","2"
"2","1.46732898429036","0.09470263671875","8.8120002746582","2"
"2","1.41730799805373","0.0904082183837891","8.91199970245361","2"
"2","1.36733357794583","0.08594775390625","9.01200008392334","2"
"2","1.31721945945174","0.0819071960449219","9.11200046539307","2"
"2","1.2673381716013","0.0777172012329102","9.21199989318848","2"
"2","1.21727061923593","0.0736434478759766","9.3120002746582","2"
"2","1.16729619912803","0.0696267471313477","9.41199970245361","2"
"2","1.11732177902013","0.0651641616821289","9.51200008392334","2"
"2","1.06725422665477","0.0607472114562988","9.61200046539307","2"
"2","1.01727980654687","0.0569719696044922","9.71199989318848","2"
"2","0.967212195973843","0.0529798049926758","9.8120002746582","2"
"2","0.917330966331065","0.0495554351806641","9.91199970245361","2"
"2","0.867263413965702","0.0452653999328613","10.0120000839233","2"
"2","0.817288993857801","0.0411507530212402","10.1120004653931","2"
"2","0.7673145737499","0.0372868728637695","10.2119998931885","2"
"2","0.717293587513268","0.0341163597106934","10.3120002746582","2"
"2","0.667319167405367","0.0302285346984863","10.4119997024536","2"
"2","0.617251556832343","0.0267053260803223","10.5120000839233","2"
"2","0.567277136724442","0.0236146221160889","10.6120004653931","2"
"2","0.51725615048781","0.0201370429992676","10.7119998931885","2"
"2","0.46728175948374","0.0169615211486816","10.8120002746582","2"
"2","0.417353905504569","0.0138852663040161","10.9119997024536","2"
"2","0.367332919267938","0.0116538696289063","11.0120000839233","2"
"2","0.317311933031306","0.00884867477416992","11.1120004653931","2"
"2","0.267244351562113","0.00632389068603516","11.2119998931885","2"
"3","0.228960139793344","0.00489709854125977","11.3120002746582","3"
"3","0.273485347861424","0.00715521287918091","11.4119997024536","3"
"3","0.323506334098056","0.0099941520690918","11.5120000839233","3"
"3","0.373527320334688","0.0135011072158813","11.6120004653931","3"
"3","0.423594901803881","0.0165770969390869","11.7119998931885","3"
"3","0.473522726679221","0.0200750560760498","11.8120002746582","3"
"3","0.523590308148414","0.0232013683319092","11.9119997024536","3"
"3","0.573564728256315","0.026617883682251","12.0120000839233","3"
"3","0.623539148364216","0.0297216339111328","12.1120004653931","3"
"3","0.673560134600848","0.0339982643127441","12.2119998931885","3"
"3","0.723534554708749","0.0372831878662109","12.3120002746582","3"
"3","0.773602107074112","0.0412064361572266","12.4119997024536","3"
"3","0.823529961053282","0.0447226066589356","12.5120000839233","3"
"3","0.873597513418645","0.0486254386901855","12.6120004653931","3"
"3","0.923571933526546","0.0524897689819336","12.7119998931885","3"
"3","0.973546353634447","0.0558902702331543","12.8120002746582","3"
"3","1.02356739807874","0.0598774185180664","12.9119997024536","3"
"3","1.07354170177132","0.0635173988342285","13.0120000839233","3"
"3","1.123609370552","0.0674703216552734","13.1120004653931","3"
"3","1.17353722453117","0.0717260665893555","13.2119998931885","3"
"3","1.22360477689654","0.0754905853271484","13.3120002746582","3"
"3","1.27357919700444","0.0795057601928711","13.4119997024536","3"
"3","1.32350693456829","0.0833200454711914","13.5120000839233","3"
"3","1.37357460334897","0.0873977966308594","13.6120004653931","3"
"3","1.42354902345687","0.0908170166015625","13.7119998931885","3"
"3","1.4735700096935","0.0949923629760742","13.8120002746582","3"
"3","1.52359099593014","0.0995105667114258","13.9119997024536","3"
"3","1.57361198216677","0.102816299438477","14.0120000839233","3"
"3","1.60327984485775","0.105351776123047","14.1120004653931","3"
"3","1.55153567902744","0.100760498046875","14.2119998931885","3"
"3","1.50137487798929","0.0965182418823242","14.3120002746582","3"
"3","1.45130732562393","0.0919236373901367","14.4119997024536","3"
"3","1.40133290551603","0.0877762145996094","14.5120000839233","3"
"3","1.35126535315067","0.083547966003418","14.6120004653931","3"
"3","1.30129093304276","0.0791478042602539","14.7119998931885","3"
"3","1.25126994680613","0.0752926406860352","14.8120002746582","3"
"3","1.20134209282696","0.0706008758544922","14.9119997024536","3"
"3","1.1512745404616","0.0662927856445313","15.0120000839233","3"
"3","1.1013001203537","0.062547176361084","15.1120004653931","3"
"3","1.0513257002458","0.0583388214111328","15.2119998931885","3"
"3","1.0012115817517","0.0542079696655273","15.3120002746582","3"
"3","0.951283727772534","0.0505107879638672","15.4119997024536","3"
